市区町村コード,Level1_Name,Level2_Name,都道府県,市区町村,市区町村詳細,緯度,経度
01101,北海道札幌市,北海道札幌市中央区,北海道,札幌市,中央区,43.05546,141.340956
01102,北海道札幌市,北海道札幌市北区,北海道,札幌市,北区,43.09085,141.340831
01103,北海道札幌市,北海道札幌市東区,北海道,札幌市,東区,43.076069,141.363722
01104,北海道札幌市,北海道札幌市白石区,北海道,札幌市,白石区,43.047687,141.405078
01105,北海道札幌市,北海道札幌市豊平区,北海道,札幌市,豊平区,43.031291,141.380106
01106,北海道札幌市,北海道札幌市南区,北海道,札幌市,南区,42.990031,141.353497
01107,北海道札幌市,北海道札幌市西区,北海道,札幌市,西区,43.07447,141.300889
01108,北海道札幌市,北海道札幌市厚別区,北海道,札幌市,厚別区,43.036408,141.474789
01109,北海道札幌市,北海道札幌市手稲区,北海道,札幌市,手稲区,43.121944,141.245632
01110,北海道札幌市,北海道札幌市清田区,北海道,札幌市,清田区,42.999636,141.44383
01202,北海道函館市,北海道函館市,北海道,函館市,NA,41.768793,140.72881
01203,北海道小樽市,北海道小樽市,北海道,小樽市,NA,43.190717,140.994662
01204,北海道旭川市,北海道旭川市,北海道,旭川市,NA,43.770636,142.364819
01205,北海道室蘭市,北海道室蘭市,北海道,室蘭市,NA,42.315231,140.973799
01206,北海道釧路市,北海道釧路市,北海道,釧路市,NA,42.984854,144.381356
01207,北海道帯広市,北海道帯広市,北海道,帯広市,NA,42.923899,143.196103
01208,北海道北見市,北海道北見市,北海道,北見市,NA,43.804031,143.895876
01209,北海道夕張市,北海道夕張市,北海道,夕張市,NA,43.056734,141.973896
01210,北海道岩見沢市,北海道岩見沢市,北海道,岩見沢市,NA,43.196206,141.775933
01211,北海道網走市,北海道網走市,北海道,網走市,NA,44.020632,144.273398
01212,北海道留萌市,北海道留萌市,北海道,留萌市,NA,43.940987,141.637012
01213,北海道苫小牧市,北海道苫小牧市,北海道,苫小牧市,NA,42.634302,141.605372
01214,北海道稚内市,北海道稚内市,北海道,稚内市,NA,45.415664,141.673082
01215,北海道美唄市,北海道美唄市,北海道,美唄市,NA,43.332881,141.853785
01216,北海道芦別市,北海道芦別市,北海道,芦別市,NA,43.518166,142.189436
01217,北海道江別市,北海道江別市,北海道,江別市,NA,43.103745,141.536247
01218,北海道赤平市,北海道赤平市,北海道,赤平市,NA,43.558074,142.044211
01219,北海道紋別市,北海道紋別市,北海道,紋別市,NA,44.356484,143.354503
01220,北海道士別市,北海道士別市,北海道,士別市,NA,44.178734,142.400404
01221,北海道名寄市,北海道名寄市,北海道,名寄市,NA,44.355938,142.463167
01222,北海道三笠市,北海道三笠市,北海道,三笠市,NA,43.245435,141.875327
01223,北海道根室市,北海道根室市,北海道,根室市,NA,43.330076,145.58279
01224,北海道千歳市,北海道千歳市,北海道,千歳市,NA,42.820958,141.650876
01225,北海道滝川市,北海道滝川市,北海道,滝川市,NA,43.557795,141.91019
01226,北海道砂川市,北海道砂川市,北海道,砂川市,NA,43.494843,141.903465
01227,北海道歌志内市,北海道歌志内市,北海道,歌志内市,NA,43.521353,142.034568
01228,北海道深川市,北海道深川市,北海道,深川市,NA,43.72326,142.053538
01229,北海道富良野市,北海道富良野市,北海道,富良野市,NA,43.34214,142.383225
01230,北海道登別市,北海道登別市,北海道,登別市,NA,42.41276,141.106632
01231,北海道恵庭市,北海道恵庭市,北海道,恵庭市,NA,42.882562,141.577815
01233,北海道伊達市,北海道伊達市,北海道,伊達市,NA,42.471851,140.864679
01234,北海道北広島市,北海道北広島市,北海道,北広島市,NA,42.98563,141.563543
01235,北海道石狩市,北海道石狩市,北海道,石狩市,NA,43.171384,141.31552
01236,北海道北斗市,北海道北斗市,北海道,北斗市,NA,41.82406,140.652903
01303,北海道石狩郡,北海道石狩郡当別町,北海道,石狩郡,当別町,43.223683,141.517072
01304,北海道石狩郡,北海道石狩郡新篠津村,北海道,石狩郡,新篠津村,43.225424,141.649216
01331,北海道松前郡,北海道松前郡松前町,北海道,松前郡,松前町,41.430037,140.110435
01332,北海道松前郡,北海道松前郡福島町,北海道,松前郡,福島町,41.483802,140.251326
01333,北海道上磯郡,北海道上磯郡知内町,北海道,上磯郡,知内町,41.598356,140.418963
01334,北海道上磯郡,北海道上磯郡木古内町,北海道,上磯郡,木古内町,41.678264,140.437568
01337,北海道亀田郡,北海道亀田郡七飯町,北海道,亀田郡,七飯町,41.89572,140.69428
01343,北海道茅部郡,北海道茅部郡鹿部町,北海道,茅部郡,鹿部町,42.038487,140.815939
01345,北海道茅部郡,北海道茅部郡森町,北海道,茅部郡,森町,42.104795,140.576324
01346,北海道二海郡,北海道二海郡八雲町,北海道,二海郡,八雲町,42.255999,140.265281
01347,北海道山越郡,北海道山越郡長万部町,北海道,山越郡,長万部町,42.513688,140.380633
01361,北海道檜山郡,北海道檜山郡江差町,北海道,檜山郡,江差町,41.869156,140.12746
01362,北海道檜山郡,北海道檜山郡上ノ国町,北海道,檜山郡,上ノ国町,41.801082,140.121348
01363,北海道檜山郡,北海道檜山郡厚沢部町,北海道,檜山郡,厚沢部町,41.920901,140.225472
01364,北海道爾志郡,北海道爾志郡乙部町,北海道,爾志郡,乙部町,41.968501,140.135719
01367,北海道奥尻郡,北海道奥尻郡奥尻町,北海道,奥尻郡,奥尻町,42.172278,139.514008
01370,北海道瀬棚郡,北海道瀬棚郡今金町,北海道,瀬棚郡,今金町,42.429422,140.008878
01371,北海道久遠郡,北海道久遠郡せたな町,北海道,久遠郡,せたな町,42.417161,139.882988
01391,北海道島牧郡,北海道島牧郡島牧村,北海道,島牧郡,島牧村,42.70052,140.06146
01392,北海道寿都郡,北海道寿都郡寿都町,北海道,寿都郡,寿都町,42.790979,140.22898
01393,北海道寿都郡,北海道寿都郡黒松内町,北海道,寿都郡,黒松内町,42.667864,140.30754
01394,北海道磯谷郡,北海道磯谷郡蘭越町,北海道,磯谷郡,蘭越町,42.809075,140.528312
01395,北海道虻田郡,北海道虻田郡ニセコ町,北海道,虻田郡,ニセコ町,42.804705,140.687493
01396,北海道虻田郡,北海道虻田郡真狩村,北海道,虻田郡,真狩村,42.762971,140.803744
01397,北海道虻田郡,北海道虻田郡留寿都村,北海道,虻田郡,留寿都村,42.73736,140.87559099999999
01398,北海道虻田郡,北海道虻田郡喜茂別町,北海道,虻田郡,喜茂別町,42.795472,140.9345
01399,北海道虻田郡,北海道虻田郡京極町,北海道,虻田郡,京極町,42.858208,140.884088
01400,北海道虻田郡,北海道虻田郡倶知安町,北海道,虻田郡,倶知安町,42.901829,140.758698
01571,北海道虻田郡,北海道虻田郡豊浦町,北海道,虻田郡,豊浦町,42.583447,140.711832
01584,北海道虻田郡,北海道虻田郡洞爺湖町,北海道,虻田郡,洞爺湖町,42.551269,140.764098
01401,北海道岩内郡,北海道岩内郡共和町,北海道,岩内郡,共和町,42.980398,140.611187
01402,北海道岩内郡,北海道岩内郡岩内町,北海道,岩内郡,岩内町,42.979785,140.514753
01403,北海道古宇郡,北海道古宇郡泊村,北海道,古宇郡,泊村,43.063355,140.498859
01404,北海道古宇郡,北海道古宇郡神恵内村,北海道,古宇郡,神恵内村,43.143813,140.430742
01405,北海道積丹郡,北海道積丹郡積丹町,北海道,積丹郡,積丹町,43.298853,140.598193
01406,北海道古平郡,北海道古平郡古平町,北海道,古平郡,古平町,43.26536,140.63882
01407,北海道余市郡,北海道余市郡仁木町,北海道,余市郡,仁木町,43.151691,140.76613
01408,北海道余市郡,北海道余市郡余市町,北海道,余市郡,余市町,43.195232,140.783467
01409,北海道余市郡,北海道余市郡赤井川村,北海道,余市郡,赤井川村,43.08349,140.813481
01423,北海道空知郡,北海道空知郡南幌町,北海道,空知郡,南幌町,43.063727,141.650069
01424,北海道空知郡,北海道空知郡奈井江町,北海道,空知郡,奈井江町,43.425106,141.882788
01425,北海道空知郡,北海道空知郡上砂川町,北海道,空知郡,上砂川町,43.482608,141.984084
01460,北海道空知郡,北海道空知郡上富良野町,北海道,空知郡,上富良野町,43.455661,142.467073
01461,北海道空知郡,北海道空知郡中富良野町,北海道,空知郡,中富良野町,43.405671,142.425136
01462,北海道空知郡,北海道空知郡南富良野町,北海道,空知郡,南富良野町,43.163979,142.568488
01427,北海道夕張郡,北海道夕張郡由仁町,北海道,夕張郡,由仁町,42.999605,141.790338
01428,北海道夕張郡,北海道夕張郡長沼町,北海道,夕張郡,長沼町,43.010353,141.695252
01429,北海道夕張郡,北海道夕張郡栗山町,北海道,夕張郡,栗山町,43.056309,141.784255
01430,北海道樺戸郡,北海道樺戸郡月形町,北海道,樺戸郡,月形町,43.338436,141.669451
01431,北海道樺戸郡,北海道樺戸郡浦臼町,北海道,樺戸郡,浦臼町,43.430322,141.818837
01432,北海道樺戸郡,北海道樺戸郡新十津川町,北海道,樺戸郡,新十津川町,43.548547,141.877032
01433,北海道雨竜郡,北海道雨竜郡妹背牛町,北海道,雨竜郡,妹背牛町,43.700112,141.961711
